title,author,genre,cover_url
Dune,Frank Herbert,Science Fiction,
1984,George Orwell,Dystopian,
The Great Gatsby,F. Scott Fitzgerald,Classic,
To Kill a Mockingbird,Harper Lee,Classic,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,
Pride and Prejudice,Jane Austen,Romance,
Brave New World,Aldous Huxley,Dystopian,
The Catcher in the Rye,J.D. Salinger,Classic,
The Hobbit,J.R.R. Tolkien,Fantasy,
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,
Fahrenheit 451,Ray Bradbury,Dystopian,
The Lord of the Rings,J.R.R. Tolkien,Fantasy,
Crime and Punishment,Fyodor Dostoevsky,Classic,
The Alchemist,Paulo Coelho,Fiction,
Sapiens,Yuval Noah Harari,Non-Fiction,
Atomic Habits,James Clear,Non-Fiction,
The Power of Now,Eckhart Tolle,Self-Help,
Thinking Fast and Slow,Daniel Kahneman,Non-Fiction,
The Name of the Wind,Patrick Rothfuss,Fantasy,
Ender's Game,Orson Scott Card,Science Fiction,
